seed_keyword,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01
Personal growth,623030.0,535390.0,521770.0,637970.0,672350.0,614510.0,548800.0,542810.0,702060.0,639660.0,638420.0,556500.0,590580.0,505630.0,540030.0,552330.0,518890.0,454680.0,455200.0,452420.0,644630.0,474600.0,557860.0,470100.0
Life design,67220.0,66810.0,65990.0,75150.0,76760.0,66920.0,67700.0,64550.0,80530.0,82110.0,83690.0,79180.0,78940.0,85240.0,74900.0,74980.0,77160.0,77290.0,75430.0,75930.0,86070.0,72780.0,75990.0,74680.0
Freedom lifestyle,780.0,570.0,660.0,670.0,650.0,820.0,780.0,760.0,850.0,770.0,780.0,810.0,680.0,630.0,620.0,630.0,740.0,760.0,740.0,750.0,900.0,880.0,1110.0,860.0
Uncertain future,2020.0,1710.0,1720.0,1760.0,1740.0,2040.0,2040.0,1710.0,2020.0,2020.0,1990.0,2020.0,1750.0,1710.0,1400.0,1390.0,1690.0,1690.0,1720.0,1380.0,1670.0,1660.0,1690.0,1670.0
Work dissatisfaction,6910.0,5680.0,4470.0,4440.0,5610.0,6940.0,6880.0,5630.0,5610.0,5680.0,5690.0,6910.0,5660.0,4380.0,3820.0,3820.0,5580.0,5590.0,4420.0,3750.0,4300.0,4370.0,5450.0,4290.0
Career change,313290.0,326970.0,306120.0,305410.0,304790.0,304910.0,292410.0,256670.0,371210.0,320860.0,317650.0,316310.0,319030.0,309910.0,327630.0,307940.0,314250.0,307370.0,282080.0,235370.0,321320.0,267980.0,319420.0,270120.0
Portfolio career,130250.0,109190.0,78800.0,137610.0,189830.0,164360.0,146750.0,105480.0,190400.0,134540.0,136830.0,132060.0,136060.0,117410.0,91140.0,157700.0,192460.0,158140.0,134450.0,100290.0,183510.0,124010.0,152860.0,127090.0
Work-life integration,12580.0,10150.0,10100.0,9970.0,10130.0,10030.0,9990.0,8170.0,10020.0,8320.0,10160.0,10150.0,10120.0,8360.0,8410.0,8420.0,10010.0,12620.0,8280.0,6640.0,8230.0,8070.0,9700.0,7930.0
Mindful living,39080.0,36500.0,36340.0,36780.0,36170.0,36470.0,35290.0,36390.0,44000.0,41170.0,35920.0,36720.0,37710.0,38310.0,39370.0,38140.0,46220.0,40890.0,36010.0,34900.0,41970.0,35370.0,36680.0,35390.0
Debt burden,3220.0,2580.0,1920.0,2120.0,2310.0,2920.0,2850.0,2490.0,2990.0,3060.0,3240.0,2730.0,2750.0,2470.0,1800.0,1710.0,2290.0,2660.0,2030.0,2150.0,2030.0,1690.0,2420.0,1860.0
Scarcity mindset,57780.0,42350.0,45460.0,42900.0,48620.0,48830.0,49420.0,57810.0,58730.0,48840.0,48590.0,48170.0,48750.0,48140.0,52680.0,45760.0,45920.0,53250.0,46300.0,45670.0,56480.0,45830.0,49140.0,45650.0
Autonomy at work,9030.0,8530.0,7070.0,6990.0,8380.0,9230.0,8740.0,6940.0,8530.0,8720.0,8550.0,8800.0,8870.0,8090.0,7690.0,6680.0,7380.0,8630.0,8270.0,6200.0,7850.0,6840.0,8480.0,7930.0
